name,color,economy (mpg),cylinders,displacement (cc),power (hp),weight (lb),0-60 mph (s),year
AMC Ambassador Brougham,white,13,8,360,175,3821,11,73
AMC Ambassador DPL,green,15,8,390,190,3850,8.5,70
AMC Ambassador SST,green,17,8,304,150,3672,11.5,72
AMC Concord DL 6,white,20.2,6,232,90,3265,18.2,79
AMC Concord DL,green,18.1,6,258,120,3410,15.1,78
AMC Concord DL,white,23,4,151,,3035,20.5,82
AMC Concord,red,19.4,6,232,90,3210,17.2,78
AMC Concord,red,24.3,4,151,90,3003,20.1,80
AMC Gremlin,red,18,6,232,100,2789,15,73
AMC Gremlin,red,19,6,232,100,2634,13,71
AMC Gremlin,red,20,6,232,100,2914,16,75
AMC Gremlin,white,21,6,199,90,2648,15,70
AMC Hornet Sportabout (Wagon),blue,18,6,258,110,2962,13.5,71
AMC Hornet,red,18,6,199,97,2774,15.5,70
AMC Hornet,red,18,6,232,100,2945,16,73
AMC Hornet,blue,19,6,232,100,2901,16,74
AMC Hornet,green,22.5,6,232,90,3085,17.6,76
AMC Matador (Wagon),red,14,8,304,150,4257,15.5,74
AMC Matador (Wagon),green,15,8,304,150,3892,12.5,72
AMC Matador,blue,14,8,304,150,3672,11.5,73
AMC Matador,red,15,6,258,110,3730,19,75
AMC Matador,red,15.5,8,304,120,3962,13.9,76
AMC Matador,red,16,6,258,110,3632,18,74
AMC Matador,red,18,6,232,100,3288,15.5,71
AMC Pacer D/L,green,17.5,6,258,95,3193,17.8,76
AMC Pacer,white,19,6,232,90,3211,17,75
AMC Rebel SST (Wagon),green,,8,360,175,3850,11,70
AMC Rebel SST,white,16,8,304,150,3433,12,70
AMC Spirit DL,green,27.4,4,121,80,2670,15,79
Audi 100 LS,white,20,4,114,91,2582,14,73
Audi 100 LS,red,23,4,115,95,2694,15,75
Audi 100 LS,blue,24,4,107,90,2430,14.5,70
Audi 4000,red,34.3,4,97,78,2188,15.8,80
Audi 5000,green,20.3,5,131,103,2830,15.9,78
Audi 5000S (Diesel),green,36.4,5,121,67,2950,19.9,80
Audi Fox,green,29,4,98,83,2219,16.5,74
BMW 2002,green,26,4,121,113,2234,12.5,70
BMW 320i,blue,21.5,4,121,110,2600,12.8,77
Buick Century 350,white,13,8,350,175,4100,13,73
Buick Century Limited,blue,25,6,181,110,2945,16.4,82
Buick Century Luxus (Wagon),white,13,8,350,150,4699,14.5,74
Buick Century Special,green,20.6,6,231,105,3380,15.8,78
Buick Century,red,17,6,231,110,3907,21,75
Buick Century,white,22.4,6,231,110,3415,15.8,81
Buick Electra 225 Custom,white,12,8,455,225,4951,11,73
Buick Estate Wagon (Wagon),green,14,8,455,225,3086,10,70
Buick Estate Wagon (Wagon),blue,16.9,8,350,155,4360,14.9,79
Buick Lesabre Custom,blue,13,8,350,155,4502,13.5,72
Buick Opel Isuzu Deluxe,white,30,4,111,80,2155,14.8,77
Buick Regal Sport Coupe (Turbo),red,17.7,6,231,165,3445,13.4,78
Buick Skyhawk,green,21,6,231,110,3039,15,75
Buick Skylark 320,blue,15,8,350,165,3693,11.5,70
Buick Skylark Limited,white,28.4,4,151,90,2670,16,79
Buick Skylark,blue,20.5,6,231,105,3425,16.9,77
Buick Skylark,green,26.6,4,151,84,2635,16.4,81
Cadillac Eldorado,green,23,8,350,125,3900,17.4,79
Cadillac Seville,blue,16.5,8,350,180,4380,12.1,76
Chevroelt Chevelle Malibu,blue,16,6,250,105,3897,18.5,75
Chevrolet Bel Air,red,15,8,350,145,4440,14,75
Chevrolet Camaro,white,27,4,151,90,2950,17.3,82
Chevrolet Caprice Classic,white,13,8,400,150,4464,12,73
Chevrolet Caprice Classic,white,17,8,305,130,3840,15.4,79
Chevrolet Caprice Classic,green,17.5,8,305,145,3880,12.5,77
Chevrolet Cavalier 2-Door,white,34,4,112,88,2395,18,82
Chevrolet Cavalier Wagon,blue,27,4,112,88,2640,18.6,82
Chevrolet Cavalier,red,28,4,112,88,2605,19.6,82
Chevrolet Chevelle Concours (Wagon),green,,8,350,165,4142,11.5,70
Chevrolet Chevelle Concours (Wagon),blue,13,8,307,130,4098,14,72
Chevrolet Chevelle Malibu Classic,red,16,6,250,100,3781,17,74
Chevrolet Chevelle Malibu Classic,red,17.5,8,305,140,4215,13,76
Chevrolet Chevelle Malibu,blue,17,6,250,100,3329,15.5,71
Chevrolet Chevelle Malibu,green,18,8,307,130,3504,12,70
Chevrolet Chevette,white,29,4,85,52,2035,22.2,76
Chevrolet Chevette,red,30,4,98,68,2155,16.5,78
Chevrolet Chevette,green,30.5,4,98,63,2051,17,77
Chevrolet Chevette,green,32.1,4,98,70,2120,15.5,80
Chevrolet Citation,blue,23.5,6,173,110,2725,12.6,81
Chevrolet Citation,white,28,4,151,90,2678,16.5,80
Chevrolet Citation,white,28.8,6,173,115,2595,11.3,79
Chevrolet Concours,green,17.5,6,250,110,3520,16.4,77
Chevrolet Impala,blue,11,8,400,150,4997,14,73
Chevrolet Impala,green,13,8,350,165,4274,12,72
Chevrolet Impala,green,14,8,350,165,4209,12,71
Chevrolet Impala,blue,14,8,454,220,4354,9,70
Chevrolet Malibu Classic (Wagon),white,19.2,8,267,125,3605,15,79
Chevrolet Malibu,red,13,8,350,145,3988,13,73
Chevrolet Malibu,green,20.5,6,200,95,3155,18.2,78
Chevrolet Monte Carlo Landau,white,15.5,8,350,170,4165,11.4,77
Chevrolet Monte Carlo Landau,blue,19.2,8,305,145,3425,13.2,78
Chevrolet Monte Carlo S,blue,15,8,350,145,4082,13,73
Chevrolet Monte Carlo,green,15,8,400,150,3761,9.5,70
Chevrolet Monza 2+2,green,20,8,262,110,3221,13.5,75
Chevrolet Nova Custom,white,16,6,250,100,3278,18,73
Chevrolet Nova,green,15,6,250,100,3336,17,74
Chevrolet Nova,green,18,6,250,105,3459,16,75
Chevrolet Nova,blue,22,6,250,105,3353,14.5,76
Chevrolet Vega (Wagon),blue,22,4,140,72,2408,19,71
Chevrolet Vega 2300,white,28,4,140,90,2264,15.5,71
Chevrolet Vega,blue,20,4,140,90,2408,19.5,72
Chevrolet Vega,green,21,4,140,72,2401,19.5,73
Chevrolet Vega,blue,25,4,140,75,2542,17,74
Chevrolet Woody,green,24.5,4,98,60,2164,22.1,76
Chevy C10,white,13,8,350,145,4055,12,76
Chevy C20,red,10,8,307,200,4376,15,70
Chevy S-10,white,31,4,119,82,2720,19.4,82
Chrysler Cordoba,green,15.5,8,400,190,4325,12.2,77
Chrysler Lebaron Medallion,red,26,4,156,92,2585,14.5,82
Chrysler Lebaron Salon,green,17.6,6,225,85,3465,16.6,81
Chrysler Lebaron Town & Country (Wagon),blue,18.5,8,360,150,3940,13,79
Chrysler New Yorker Brougham,blue,13,8,440,215,4735,11,73
Chrysler Newport Royal,red,13,8,400,190,4422,12.5,72
Citroen DS-21 Pallas,red,,4,133,115,3090,17.5,70
Datsun 1200,green,35,4,72,69,1613,18,71
Datsun 200SX,red,23.9,4,119,97,2405,14.9,78
Datsun 200SX,white,32.9,4,119,100,2615,14.8,81
Datsun 210,white,31.8,4,85,65,2020,19.2,79
Datsun 210,white,37,4,85,65,1975,19.4,81
Datsun 210,red,40.8,4,85,65,2110,19.2,80
Datsun 280ZX,green,32.7,6,168,132,2910,11.4,80
Datsun 310 GX,white,38,4,91,67,1995,16.2,82
Datsun 310,red,37.2,4,86,65,2019,16.4,80
Datsun 510 (Wagon),white,28,4,97,92,2288,17,72
Datsun 510 Hatchback,blue,37,4,119,92,2434,15,80
Datsun 510,white,27.2,4,119,97,2300,14.7,78
Datsun 610,green,22,4,108,94,2379,16.5,73
Datsun 710,white,24,4,119,97,2545,17,75
Datsun 710,red,32,4,83,61,2003,19,74
Datsun 810 Maxima,red,24.2,6,146,120,2930,13.8,81
Datsun 810,green,22,6,146,97,2815,14.5,77
Datsun B-210,green,32,4,85,70,1990,17,76
Datsun B210 GX,red,39.4,4,85,70,2070,18.6,78
Datsun B210,green,31,4,79,67,1950,19,74
Datsun F-10 Hatchback,blue,33.5,4,85,70,1945,16.8,77
Datsun PL510,white,27,4,97,88,2130,14.5,70
Datsun PL510,green,27,4,97,88,2130,14.5,71
Dodge Aries SE,blue,29,4,135,84,2525,16,82
Dodge Aries Wagon (Wagon),white,25.8,4,156,92,2620,14.4,81
Dodge Aspen 6,blue,20.6,6,225,110,3360,16.6,79
Dodge Aspen SE,green,20,6,225,100,3651,17.7,76
Dodge Aspen,white,18.6,6,225,110,3620,18.7,78
Dodge Aspen,green,19.1,6,225,90,3381,18.7,80
Dodge Challenger SE,green,15,8,383,170,3563,10,70
Dodge Charger 2.2,blue,36,4,135,84,2370,13,82
Dodge Colt (Wagon),blue,28,4,98,80,2164,15,72
Dodge Colt Hardtop,white,25,4,97.5,80,2126,17,72
Dodge Colt Hatchback Custom,blue,35.7,4,98,80,1915,14.4,79
Dodge Colt M/M,green,33.5,4,98,83,2075,15.9,77
Dodge Colt,green,26,4,98,79,2255,17.7,76
Dodge Colt,white,27.9,4,156,105,2800,14.4,80
Dodge Colt,white,28,4,90,75,2125,14.5,74
Dodge Coronet Brougham,red,16,8,318,150,4190,13,76
Dodge Coronet Custom (Wagon),white,14,8,318,150,4457,13.5,74
Dodge Coronet Custom,white,15,8,318,150,3777,12.5,73
Dodge D100,red,13,8,318,150,3755,14,76
Dodge D200,blue,11,8,318,210,4382,13.5,70
Dodge Dart Custom,red,15,8,318,150,3399,11,73
Dodge Diplomat,green,19.4,8,318,140,3735,13.2,78
Dodge Magnum XE,blue,17.5,8,318,140,4080,13.7,78
Dodge Monaco (Wagon),red,12,8,383,180,4955,11.5,71
Dodge Monaco Brougham,blue,15.5,8,318,145,4140,13.7,77
Dodge Omni,white,30.9,4,105,75,2230,14.5,78
Dodge Rampage,blue,32,4,135,84,2295,11.6,82
Dodge St. Regis,green,18.2,8,318,135,3830,15.2,79
Fiat 124 Sport Coupe,white,26,4,98,90,2265,15.5,73
Fiat 124 TC,white,26,4,116,75,2246,14,74
Fiat 124B,green,30,4,88,76,2065,14.5,71
Fiat 128,red,24,4,90,75,2108,15.5,74
Fiat 128,white,29,4,68,49,1867,19.5,73
Fiat 131,red,28,4,107,86,2464,15.5,76
Fiat Strada Custom,blue,37.3,4,91,69,2130,14.7,79
Fiat X1.9,blue,31,4,79,67,2000,16,74
Ford Capri II,blue,25,4,140,92,2572,14.9,76
Ford Country Squire (Wagon),green,13,8,400,170,4746,12,71
Ford Country Squire (Wagon),red,15.5,8,351,142,4054,14.3,79
Ford Country,red,12,8,400,167,4906,12.5,73
Ford Escort 2H,green,29.9,4,98,65,2380,20.7,81
Ford Escort 4W,blue,34.4,4,98,65,2045,16.2,81
Ford F108,blue,13,8,302,130,3870,15,76
Ford F250,green,10,8,360,215,4615,14,70
Ford Fairmont (Auto),green,20.2,6,200,85,2965,15.8,78
Ford Fairmont (Man),white,25.1,4,140,88,2720,15.4,78
Ford Fairmont 4,red,22.3,4,140,88,2890,17.3,79
Ford Fairmont Futura,blue,24,4,140,92,2865,16.4,82
Ford Fairmont,white,26.4,4,140,88,2870,18.1,80
Ford Fiesta,blue,36.1,4,98,66,1800,14.4,78
Ford Futura,blue,18.1,8,302,139,3205,11.2,78
Ford Galaxie 500,white,14,8,351,153,4129,13,72
Ford Galaxie 500,white,14,8,351,153,4154,13.5,71
Ford Galaxie 500,white,15,8,429,198,4341,10,70
Ford Gran Torino (Wagon),white,13,8,302,140,4294,16,72
Ford Gran Torino (Wagon),white,14,8,302,140,4638,16,74
Ford Gran Torino,white,14,8,302,137,4042,14.5,73
Ford Gran Torino,white,14.5,8,351,152,4215,12.8,76
Ford Gran Torino,red,16,8,302,140,4141,14,74
Ford Granada Ghia,blue,18,6,250,78,3574,21,76
Ford Granada GL,green,20.2,6,200,88,3060,17.1,81
Ford Granada L,blue,22,6,232,112,2835,14.7,82
Ford Granada,green,18.5,6,250,98,3525,19,77
Ford LTD Landau,red,17.6,8,302,129,3725,13.4,79
Ford LTD,red,13,8,351,158,4363,13,73
Ford LTD,white,14,8,351,148,4657,13.5,75
Ford Maverick,red,15,6,250,72,3158,19.5,75
Ford Maverick,blue,18,6,250,88,3021,16.5,73
Ford Maverick,blue,21,6,200,,2875,17,74
Ford Maverick,white,21,6,200,85,2587,16,70
Ford Maverick,white,24,6,200,81,3012,17.6,76
Ford Mustang Boss 302,red,,8,302,140,3353,8,70
Ford Mustang Cobra,green,23.6,4,140,,2905,14.3,80
Ford Mustang GL,blue,27,4,140,86,2790,15.6,82
Ford Mustang II 2+2,white,25.5,4,140,89,2755,15.8,77
Ford Mustang II,white,13,8,302,129,3169,12,75
Ford Mustang,green,18,6,250,88,3139,14.5,71
Ford Pinto (Wagon),blue,22,4,122,86,2395,16,72
Ford Pinto Runabout,green,21,4,122,86,2226,16.5,72
Ford Pinto,green,18,6,171,97,2984,14.5,75
Ford Pinto,red,19,4,122,85,2310,18.5,73
Ford Pinto,green,23,4,140,83,2639,17,75
Ford Pinto,red,25,4,98,,2046,19,71
Ford Pinto,blue,26,4,122,80,2451,16.5,74
Ford Pinto,blue,26.5,4,140,72,2565,13.6,76
Ford Ranger,red,28,4,120,79,2625,18.6,82
Ford Thunderbird,blue,16,8,351,149,4335,14.5,77
Ford Torino (Wagon),blue,,8,351,153,4034,11,70
Ford Torino 500,white,19,6,250,88,3302,15.5,71
Ford Torino,green,17,8,302,140,3449,10.5,70
Hi 1200D,green,9,8,304,193,4732,18.5,70
Honda Accord CVCC,red,31.5,4,98,68,2045,18.5,77
Honda Accord LX,blue,29.5,4,98,68,2135,16.6,78
Honda Accord,white,32.4,4,107,72,2290,17,80
Honda Accord,green,36,4,107,75,2205,14.5,82
Honda Civic (Auto),red,32,4,91,67,1965,15.7,82
Honda Civic 1300,white,35.1,4,81,60,1760,16.1,81
Honda Civic 1500 GL,white,44.6,4,91,67,1850,13.8,80
Honda Civic CVCC,white,33,4,91,53,1795,17.5,75
Honda Civic CVCC,white,36.1,4,91,60,1800,16.4,78
Honda Civic,green,24,4,120,97,2489,15,74
Honda Civic,red,33,4,91,53,1795,17.4,76
Honda Civic,green,38,4,91,67,1965,15,82
Honda Prelude,blue,33.7,4,107,75,2210,14.4,81
Maxda GLC Deluxe,green,34.1,4,86,65,1975,15.2,79
Maxda RX-3,red,18,3,70,90,2124,13.5,73
Mazda 626,red,31.3,4,120,75,2542,17.5,80
Mazda 626,white,31.6,4,120,74,2635,18.3,81
Mazda GLC 4,green,34.1,4,91,68,1985,16,81
Mazda GLC Custom L,green,37,4,91,68,2025,18.2,82
Mazda GLC Custom,white,31,4,91,68,1970,17.6,82
Mazda GLC Deluxe,blue,32.8,4,78,52,1985,19.4,78
Mazda GLC,red,46.6,4,86,65,2110,17.9,80
Mazda RX-2 Coupe,green,19,3,70,97,2330,13.5,72
Mazda RX-4,white,21.5,3,80,110,2720,13.5,77
Mazda RX-7 Gs,green,23.7,3,70,100,2420,12.5,80
Mercedes-Benz 240D,white,30,4,146,67,3250,21.8,80
Mercedes-Benz 280S,green,16.5,6,168,120,3820,16.7,76
Mercedes-Benz 300D,red,25.4,5,183,77,3530,20.1,79
Mercury Capri 2000,green,23,4,122,86,2220,14,71
Mercury Capri V6,white,21,6,155,107,2472,14,73
Mercury Cougar Brougham,white,15,8,302,130,4295,14.9,77
Mercury Grand Marquis,red,16.5,8,351,138,3955,13.2,79
Mercury Lynx L,white,36,4,98,70,2125,17.3,82
Mercury Marquis Brougham,white,12,8,429,198,4952,11.5,73
Mercury Marquis,green,11,8,429,208,4633,11,72
Mercury Monarch Ghia,red,20.2,8,302,139,3570,12.8,78
Mercury Monarch,white,15,6,250,72,3432,21,75
Mercury Zephyr 6,blue,19.8,6,200,85,2990,18.2,79
Mercury Zephyr,red,20.8,6,200,85,3070,16.7,78
Nissan Stanza XE,blue,36,4,120,88,2160,14.5,82
Oldsmobile Cutlass Ciera (Diesel),white,38,6,262,85,3015,17,82
Oldsmobile Cutlass LS,green,26.6,8,350,105,3725,19,81
Oldsmobile Cutlass Salon Brougham,red,19.9,8,260,110,3365,15.5,78
Oldsmobile Cutlass Salon Brougham,green,23.9,8,260,90,3420,22.2,79
Oldsmobile Cutlass Supreme,blue,17,8,260,110,4060,19,77
Oldsmobile Delta 88 Royale,green,12,8,350,160,4456,13.5,72
Oldsmobile Omega Brougham,white,26.8,6,173,115,2700,12.9,79
Oldsmobile Omega,white,11,8,350,180,3664,11,73
Oldsmobile Starfire SX,red,23.8,4,151,85,2855,17.6,78
Oldsmobile Vista Cruiser,green,12,8,350,180,4499,12.5,73
Opel 1900,green,25,4,116,81,2220,16.9,76
Opel 1900,white,28,4,116,90,2123,14,71
Opel Manta,white,24,4,116,75,2158,15.5,73
Opel Manta,white,26,4,97,78,2300,14.5,74
Peugeot 304,green,30,4,79,70,2074,19.5,71
Peugeot 504 (Wagon),blue,21,4,120,87,2979,19.5,72
Peugeot 504,blue,19,4,120,88,3270,21.9,76
Peugeot 504,blue,23,4,120,88,2957,17,75
Peugeot 504,blue,25,4,110,87,2672,17.5,70
Peugeot 504,white,27.2,4,141,71,3190,24.8,79
Peugeot 505S Turbo Diesel,red,28.1,4,141,80,3230,20.4,81
Peugeot 604SL,red,16.2,6,163,133,3410,15.8,78
Plymouth Arrow GS,white,25.5,4,122,96,2300,15.5,77
Plymouth Barracuda 340,blue,14,8,340,160,3609,8,70
Plymouth Champ,white,39,4,86,64,1875,16.4,81
Plymouth Cricket,green,26,4,91,70,1955,20.5,71
Plymouth Custom Suburb,red,13,8,360,170,4654,13,73
Plymouth Duster,red,20,6,198,95,3102,16.5,74
Plymouth Duster,green,22,6,198,95,2833,15.5,70
Plymouth Duster,blue,23,6,198,95,2904,16,73
Plymouth Fury Gran Sedan,white,14,8,318,150,4237,14.5,73
Plymouth Fury III,blue,14,8,318,150,4096,13,71
Plymouth Fury III,white,14,8,440,215,4312,8.5,70
Plymouth Fury III,green,15,8,318,150,4135,13.5,72
Plymouth Fury,blue,18,6,225,95,3785,19,75
Plymouth Grand Fury,blue,16,8,318,150,4498,14.5,75
Plymouth Horizon 4,blue,34.7,4,105,63,2215,14.9,81
Plymouth Horizon Miser,blue,38,4,105,63,2125,14.7,82
Plymouth Horizon TC3,white,34.5,4,105,70,2150,14.9,79
Plymouth Horizon,green,34.2,4,105,70,2200,13.2,79
Plymouth Reliant,green,27.2,4,135,84,2490,15.7,81
Plymouth Reliant,red,30,4,135,84,2385,12.9,81
Plymouth Sapporo,blue,23.2,4,156,105,2745,16.7,78
Plymouth Satellite (Wagon),blue,,8,383,175,4166,10.5,70
Plymouth Satellite Custom (Wagon),red,14,8,318,150,4077,14,72
Plymouth Satellite Custom,blue,16,6,225,105,3439,15.5,71
Plymouth Satellite Sebring,blue,18,6,225,105,3613,16.5,74
Plymouth Satellite,green,18,8,318,150,3436,11,70
Plymouth Valiant Custom,red,19,6,225,95,3264,16,75
Plymouth Valiant,red,18,6,225,105,3121,16.5,73
Plymouth Valiant,white,22,6,225,100,3233,15.4,76
Plymouth Volare Custom,blue,19,6,225,100,3630,17.7,77
Plymouth Volare Premier V8,blue,13,8,318,150,3940,13.2,76
Plymouth Volare,white,20.5,6,225,100,3430,17.2,78
Pontiac Astro,red,23,4,140,78,2592,18.5,75
Pontiac Catalina Brougham,red,14,8,400,175,4464,11.5,71
Pontiac Catalina,white,14,8,400,175,4385,12,72
Pontiac Catalina,white,14,8,455,225,4425,10,70
Pontiac Catalina,white,16,8,400,170,4668,11.5,75
Pontiac Firebird,blue,19,6,250,100,3282,15,71
Pontiac Grand Prix Lj,white,16,8,400,180,4220,11.1,77
Pontiac Grand Prix,red,16,8,400,230,4278,9.5,73
Pontiac J2000 Se Hatchback,white,31,4,112,85,2575,16.2,82
Pontiac Lemans V6,white,21.5,6,231,115,3245,15.4,79
Pontiac Phoenix LJ,red,19.2,6,231,105,3535,19.2,78
Pontiac Phoenix,red,27,4,151,90,2735,18,82
Pontiac Phoenix,blue,33.5,4,151,90,2556,13.2,79
Pontiac Safari (Wagon),red,13,8,400,175,5140,12,71
Pontiac Sunbird Coupe,white,24.5,4,151,88,2740,16,77
Pontiac Ventura Sj,red,18.5,6,250,110,3645,16.2,76
Renault 12 (Wagon),green,26,4,96,69,2189,18,72
Renault 12TL,blue,27,4,101,83,2202,15.3,76
Renault 18I,green,34.5,4,100,,2320,15.8,81
Renault 5 Gtl,blue,36,4,79,58,1825,18.6,77
Renault Lecar Deluxe,white,40.9,4,85,,1835,17.3,80
Saab 900S,green,,4,121,110,2800,15.4,81
Saab 99E,red,25,4,104,95,2375,17.5,70
Saab 99GLE,white,21.6,4,121,115,2795,15.7,78
Saab 99LE,white,24,4,121,110,2660,14,73
Saab 99LE,white,25,4,121,115,2671,13.5,75
Subaru DL,green,30,4,97,67,1985,16.4,77
Subaru DL,green,33.8,4,97,67,2145,18,80
Subaru,blue,26,4,108,93,2391,15.5,74
Subaru,blue,32.3,4,97,67,2065,17.8,81
Toyota Carina,green,20,4,97,88,2279,19,73
Toyota Celica GT Liftback,blue,21.1,4,134,95,2515,14.8,78
Toyota Celica GT,green,32,4,144,96,2665,13.9,82
Toyota Corolla 1200,green,31,4,71,65,1773,19,71
Toyota Corolla 1200,white,32,4,71,65,1836,21,74
Toyota Corolla 1600 (Wagon),white,27,4,97,88,2100,16.5,72
Toyota Corolla Liftback,red,26,4,97,75,2265,18.2,77
Toyota Corolla Tercel,red,38.1,4,89,60,1968,18.8,80
Toyota Corolla,red,28,4,97,75,2155,16.4,76
Toyota Corolla,blue,29,4,97,75,2171,16,75
Toyota Corolla,red,32.2,4,108,75,2265,15.2,80
Toyota Corolla,white,32.4,4,108,75,2350,16.8,81
Toyota Corolla,blue,34,4,108,70,2245,16.9,82
Toyota Corona Hardtop,red,24,4,113,95,2278,15.5,72
Toyota Corona Liftback,red,29.8,4,134,90,2711,15.5,80
Toyota Corona Mark II,green,24,4,113,95,2372,15,70
Toyota Corona,blue,24,4,134,96,2702,13.5,75
Toyota Corona,red,25,4,113,95,2228,14,71
Toyota Corona,white,27.5,4,134,95,2560,14.2,78
Toyota Corona,green,31,4,76,52,1649,16.5,74
Toyota Cressida,red,25.4,6,168,116,2900,12.6,81
Toyota Mark II,blue,19,6,156,108,2930,15.5,76
Toyota Mark II,white,20,6,156,122,2807,13.5,73
Toyota Starlet,green,39.1,4,79,58,1755,16.9,81
Toyota Tercel,green,37.7,4,89,62,2050,17.3,81
Toyouta Corona Mark II (Wagon),red,23,4,120,97,2506,14.5,72
Triumph TR7 Coupe,blue,35,4,122,88,2500,15.1,80
Vokswagen Rabbit,blue,29.8,4,89,62,1845,15.3,80
Volkswagen 1131 Deluxe Sedan,blue,26,4,97,46,1835,20.5,70
Volkswagen 411 (Wagon),blue,22,4,121,76,2511,18,72
Volkswagen Dasher (Diesel),white,43.4,4,90,48,2335,23.7,80
Volkswagen Dasher,white,25,4,90,71,2223,16.5,75
Volkswagen Dasher,red,26,4,79,67,1963,15.5,74
Volkswagen Dasher,blue,30.5,4,97,78,2190,14.1,77
Volkswagen Jetta,red,33,4,105,74,2190,14.2,81
Volkswagen Model 111,white,27,4,97,60,1834,19,71
Volkswagen Pickup,red,44,4,97,52,2130,24.6,82
Volkswagen Rabbit C (Diesel),blue,44.3,4,90,48,2085,21.7,80
Volkswagen Rabbit Custom Diesel,blue,43.1,4,90,48,1985,21.5,78
Volkswagen Rabbit Custom,blue,29,4,97,78,1940,14.5,77
Volkswagen Rabbit Custom,green,31.9,4,89,71,1925,14,79
Volkswagen Rabbit L,white,36,4,105,74,1980,15.3,82
Volkswagen Rabbit,red,29,4,90,70,1937,14,75
Volkswagen Rabbit,red,29,4,90,70,1937,14.2,76
Volkswagen Rabbit,red,29.5,4,97,71,1825,12.2,76
Volkswagen Rabbit,blue,41.5,4,98,76,2144,14.7,80
Volkswagen Scirocco,green,31.5,4,89,71,1990,14.9,78
Volkswagen Super Beetle 117,green,,4,97,48,1978,20,71
Volkswagen Super Beetle,red,26,4,97,46,1950,21,73
Volkswagen Type 3,red,23,4,97,54,2254,23.5,72
Volvo 144EA,white,19,4,121,112,2868,15.5,73
Volvo 145E (Wagon),blue,18,4,121,112,2933,14.5,72
Volvo 244DL,red,22,4,121,98,2945,14.5,75
Volvo 245,blue,20,4,130,102,3150,15.7,76
Volvo 264GL,white,17,6,163,125,3140,13.6,78
Volvo Diesel,red,30.7,6,145,76,3160,19.6,81
